"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/06/2022","21,400.0","20,800.0","21,800.0","20,650.0","12.03M","2.88%"
"21/06/2022","20,800.0","21,350.0","21,500.0","20,500.0","39.94M","-3.70%"
"20/06/2022","21,600.0","22,750.0","23,000.0","21,600.0","37.27M","-6.90%"
"17/06/2022","23,200.0","23,450.0","23,500.0","21,950.0","30.24M","-1.11%"
"16/06/2022","23,461.5","22,818.2","23,726.4","22,629.0","43.40M","5.44%"
"15/06/2022","22,250.6","22,780.4","23,385.9","21,834.4","37.31M","-2.97%"
"14/06/2022","22,931.8","23,840.0","23,877.8","22,856.1","36.97M","-4.72%"
"13/06/2022","24,067.0","24,975.2","25,353.6","23,991.3","27.61M","-5.36%"
"10/06/2022","25,429.3","25,580.7","25,921.2","25,429.3","19.74M","-0.59%"
"09/06/2022","25,580.7","24,899.5","26,148.3","24,786.0","35.07M","2.74%"
"08/06/2022","24,899.5","25,202.2","25,315.8","24,786.0","32.29M","-0.90%"
"07/06/2022","25,126.6","25,202.2","25,391.4","24,710.3","25.19M","-0.30%"
"06/06/2022","25,202.2","25,845.5","25,921.2","25,050.9","23.10M","-0.30%"
"03/06/2022","25,277.9","25,202.2","25,732.0","25,164.4","19.12M","0.75%"
"02/06/2022","25,088.7","25,732.0","25,959.1","25,013.0","32.99M","-3.49%"
"01/06/2022","25,996.9","26,110.4","26,337.5","25,580.7","28.14M","-1.01%"
"31/05/2022","26,261.8","26,753.7","26,753.7","26,110.4","24.49M","-2.12%"
"30/05/2022","26,829.4","26,867.3","27,132.1","26,715.9","19.57M","0.00%"
"27/05/2022","26,829.4","26,488.8","27,170.0","26,337.5","22.87M","1.29%"
"26/05/2022","26,488.8","26,488.8","26,942.9","26,148.3","21.09M","1.60%"
"25/05/2022","26,072.6","26,110.4","26,451.0","25,013.0","51.24M","-1.29%"
"24/05/2022","26,413.2","27,813.3","28,002.5","25,883.4","54.86M","-5.03%"
"23/05/2022","27,813.3","28,721.5","28,910.7","27,472.7","13.23M","-2.39%"
"20/05/2022","28,494.4","28,532.3","28,607.9","28,191.7","18.11M","-0.66%"
"19/05/2022","28,683.6","28,229.5","28,835.0","27,889.0","20.85M","-0.79%"
"18/05/2022","28,910.7","29,062.0","29,289.1","28,645.8","20.90M","0.00%"
"17/05/2022","28,910.7","27,397.0","28,910.7","27,245.7","30.44M","5.23%"
"16/05/2022","27,472.7","28,040.3","28,380.9","27,472.7","38.21M","1.11%"
"13/05/2022","27,170.0","28,872.8","29,175.6","27,056.5","55.90M","-6.14%"
"12/05/2022","28,948.5","30,727.1","30,764.9","28,948.5","32.83M","-5.90%"
"11/05/2022","30,764.9","31,029.8","31,256.8","30,689.2","12.43M","-1.09%"
"10/05/2022","31,105.5","29,894.6","31,105.5","29,289.1","25.27M","2.88%"
"09/05/2022","30,235.1","31,408.2","31,710.9","30,235.1","34.17M","-4.43%"
"06/05/2022","31,635.2","31,332.5","32,543.4","31,332.5","19.51M","-0.59%"
"05/05/2022","31,824.5","32,240.7","32,240.7","31,408.2","17.96M","0.12%"
"04/05/2022","31,786.6","32,770.5","32,770.5","31,786.6","19.37M","-3.00%"
"29/04/2022","32,770.5","32,467.8","32,846.2","32,429.9","16.05M","0.46%"
"28/04/2022","32,619.1","32,165.0","32,884.0","32,165.0","17.70M","1.41%"
"27/04/2022","32,165.0","31,181.2","32,467.8","31,105.5","24.41M","3.16%"
"26/04/2022","31,181.2","30,386.5","31,332.5","29,970.2","30.26M","1.10%"
"25/04/2022","30,840.6","33,148.9","33,148.9","30,840.6","37.77M","-6.96%"
"22/04/2022","33,148.9","33,300.3","33,338.1","32,051.5","16.51M","1.04%"
"21/04/2022","32,808.3","32,543.4","33,375.9","31,862.3","23.16M","0.35%"
"20/04/2022","32,694.8","32,921.8","33,300.3","32,619.1","17.21M","-0.23%"
"19/04/2022","32,770.5","32,543.4","33,224.6","32,467.8","24.77M","1.52%"
"18/04/2022","32,278.5","33,338.1","33,716.5","32,278.5","30.14M","-3.51%"
"15/04/2022","33,451.6","33,981.4","34,057.1","33,413.8","23.89M","-1.56%"
"14/04/2022","33,981.4","34,284.1","34,473.3","33,981.4","15.65M","-0.66%"
"13/04/2022","34,208.4","34,284.1","34,397.7","33,830.0","16.53M","0.22%"
"12/04/2022","34,132.8","35,192.3","35,192.3","34,094.9","23.70M","-2.80%"
"08/04/2022","35,116.6","35,381.5","35,608.6","35,078.8","17.86M","-0.32%"
"07/04/2022","35,230.2","35,949.1","36,024.8","35,230.2","18.87M","-1.48%"
"06/04/2022","35,759.9","34,813.9","36,289.7","34,813.9","38.62M","2.49%"
"05/04/2022","34,889.6","34,813.9","35,116.6","34,776.1","15.76M","0.55%"
"04/04/2022","34,700.4","34,813.9","35,041.0","34,624.7","15.80M","0.33%"
"01/04/2022","34,586.9","34,057.1","34,813.9","33,678.7","25.61M","1.33%"
"31/03/2022","34,132.8","34,549.0","34,776.1","33,905.7","24.56M","-0.88%"
"30/03/2022","34,435.5","34,662.5","35,116.6","34,359.8","20.44M","-0.76%"
"29/03/2022","34,700.4","34,965.3","35,003.1","34,662.5","16.88M","-0.11%"
"28/03/2022","34,738.2","34,889.6","35,457.2","34,662.5","25.36M","-1.08%"
"25/03/2022","35,116.6","35,230.2","35,532.9","34,965.3","17.48M","0.00%"
"24/03/2022","35,116.6","35,570.7","35,570.7","35,078.8","19.41M","-0.85%"
"23/03/2022","35,419.4","35,722.1","35,911.3","35,419.4","22.48M","-0.21%"
"22/03/2022","35,495.0","35,495.0","35,532.9","35,041.0","29.86M","0.11%"
"21/03/2022","35,457.2","35,343.7","35,722.1","35,116.6","25.11M","0.75%"
"18/03/2022","35,192.3","34,965.3","35,457.2","34,851.7","23.05M","1.20%"
"17/03/2022","34,776.1","35,268.0","35,343.7","34,738.2","19.45M","-0.54%"
"16/03/2022","34,965.3","35,495.0","35,684.3","34,965.3","14.84M","0.11%"
"15/03/2022","34,927.4","34,776.1","35,343.7","34,397.7","27.12M","0.76%"
"14/03/2022","34,662.5","35,797.8","36,478.9","34,662.5","44.00M","-3.78%"
"11/03/2022","36,024.8","37,235.7","37,311.4","35,457.2","57.64M","-3.15%"
"10/03/2022","37,197.9","37,841.2","37,916.9","37,160.1","34.88M","-1.40%"
"09/03/2022","37,727.7","37,841.2","38,068.3","36,970.9","45.21M","0.81%"
"08/03/2022","37,425.0","38,295.3","38,749.4","37,425.0","52.66M","-3.23%"
"07/03/2022","38,673.7","37,992.6","39,733.3","37,841.2","49.99M","2.61%"
"04/03/2022","37,689.8","38,598.0","38,825.1","37,689.8","43.39M","-0.60%"
"03/03/2022","37,916.9","36,024.8","37,916.9","35,797.8","99.11M","6.82%"
"02/03/2022","35,495.0","35,570.7","35,835.6","35,268.0","25.86M","0.00%"
"01/03/2022","35,495.0","36,100.5","36,403.2","35,457.2","30.39M","-0.64%"